PlayerID,Player,Team,TeamID
mccaija01,Jared McCain,Philadelphia 76ers,PHI
mccluma01,Mac McClung,Orlando Magic,ORL
mccolcj01,CJ McCollum,New Orleans Pelicans,NOP
mccontj01,T.J. McConnell,Indiana Pacers,IND
mcdanja02,Jaden McDaniels,Minnesota Timberwolves,MIN
mcderdo01,Doug McDermott,Sacramento Kings,SAC
mclaujo01,Jordan McLaughlin,Sacramento Kings,SAC
mcveija01,Jack McVeigh,Houston Rockets,HOU
meltode01,De'Anthony Melton,Golden State Warriors,GSW
merrisa01,Sam Merrill,Cleveland Cavaliers,CLE
micicva01,Vasilije Micic,Charlotte Hornets,CHO
millebr02,Brandon Miller,Charlotte Hornets,CHO
millejo02,Jordan Miller,Los Angeles Clippers,LAC
millspa02,Patty Mills,Utah Jazz,UTA
miltosh01,Shake Milton,Brooklyn Nets,BRK
minayju01,Justin Minaya,Portland Trail Blazers,POR
minixri01,Riley Minix,San Antonio Spurs,SAS
minotjo01,Josh Minott,Minnesota Timberwolves,MIN
missiyv01,Yves Missi,New Orleans Pelicans,NOP
mitchaj01,Ajay Mitchell,Oklahoma City Thunder,OKC
mitchda01,Davion Mitchell,Toronto Raptors,TOR
mitchdo01,Donovan Mitchell,Cleveland Cavaliers,CLE
mobleev01,Evan Mobley,Cleveland Cavaliers,CLE
mogbojo01,Jonathan Mogbo,Toronto Raptors,TOR
monkma01,Malik Monk,Sacramento Kings,SAC
moodymo01,Moses Moody,Golden State Warriors,GSW
mooreta02,Taze Moore,Portland Trail Blazers,POR
moorewe01,Wendell Moore Jr.,Detroit Pistons,DET
moranja01,Ja Morant,Memphis Grizzlies,MEM
morrima02,Markieff Morris,Dallas Mavericks,DAL
morrimo01,Monte Morris,Phoenix Suns,PHO
murphtr02,Trey Murphy III,New Orleans Pelicans,NOP
murrade01,Dejounte Murray,New Orleans Pelicans,NOP
murraja01,Jamal Murray,Denver Nuggets,DEN
murrake02,Keegan Murray,Sacramento Kings,SAC
murrakr01,Kris Murray,Portland Trail Blazers,POR
mykhasv01,Svi Mykhailiuk,Utah Jazz,UTA
nancela02,Larry Nance Jr.,Atlanta Hawks,ATL
nembhan01,Andrew Nembhard,Indiana Pacers,IND
nesmiaa01,Aaron Nesmith,Indiana Pacers,IND
newtotr01,Tristen Newton,Indiana Pacers,IND
niangge01,Georges Niang,Cleveland Cavaliers,CLE
nnajize01,Zeke Nnaji,Denver Nuggets,DEN
nowelja01,Jaylen Nowell,New Orleans Pelicans,NOP
nurkiju01,Jusuf Nurkic,Phoenix Suns,PHO
okogijo01,Josh Okogie,Phoenix Suns,PHO
okongon01,Onyeka Okongwu,Atlanta Hawks,ATL
okorois01,Isaac Okoro,Cleveland Cavaliers,CLE
onealro01,Royce O'Neale,Phoenix Suns,PHO
oubreke01,Kelly Oubre Jr.,Philadelphia 76ers,PHI
paulch01,Chris Paul,San Antonio Spurs,SAS
payneca01,Cameron Payne,New York Knicks,NYK
paytoel01,Elfrid Payton,New Orleans Pelicans,NOP
paytoga02,Gary Payton II,Golden State Warriors,GSW
peterdr01,Drew Peterson,Boston Celtics,BOS
phillju01,Julian Phillips,Chicago Bulls,CHI
pickeja02,Jalen Pickett,Denver Nuggets,DEN
pippesc02,Scotty Pippen Jr.,Memphis Grizzlies,MEM
plumlma01,Mason Plumlee,Phoenix Suns,PHO
podzibr01,Brandin Podziemski,Golden State Warriors,GSW
poeltja01,Jakob Poeltl,Toronto Raptors,TOR
poolejo01,Jordan Poole,Washington Wizards,WAS
portecr01,Craig Porter Jr.,Cleveland Cavaliers,CLE
porteke02,Kevin Porter Jr.,Los Angeles Clippers,LAC
portemi01,Michael Porter Jr.,Denver Nuggets,DEN
portibo01,Bobby Portis,Milwaukee Bucks,MIL
porzikr01,Kristaps Porzingis,Boston Celtics,BOS
poweldw01,Dwight Powell,Dallas Mavericks,DAL
powelno01,Norman Powell,Los Angeles Clippers,LAC
princta02,Taurean Prince,Milwaukee Bucks,MIL
pritcpa01,Payton Pritchard,Boston Celtics,BOS
prospol01,Olivier-Maxence Prosper,Dallas Mavericks,DAL
queentr01,Trevelin Queen,Orlando Magic,ORL
quetane01,Neemias Queta,Boston Celtics,BOS
quickim01,Immanuel Quickley,Toronto Raptors,TOR
quinole01,Lester Quinones,Philadelphia 76ers,PHI
randlju01,Julius Randle,Minnesota Timberwolves,MIN
reathdu01,Duop Reath,Portland Trail Blazers,POR
reaveau01,Austin Reaves,Los Angeles Lakers,LAL
reddica01,Cam Reddish,Los Angeles Lakers,LAL
reedpa01,Paul Reed,Detroit Pistons,DET
reeseal01,Alex Reese,Oklahoma City Thunder,OKC
reevean01,Antonio Reeves,New Orleans Pelicans,NOP
reidna01,Naz Reid,Minnesota Timberwolves,MIN
rhodeja01,Jared Rhoden,Charlotte Hornets,CHO
richajo01,Josh Richardson,Miami Heat,MIA
richani01,Nick Richards,Charlotte Hornets,CHO
risacza01,Zaccharie Risacher,Atlanta Hawks,ATL
robbili01,Liam Robbins,Milwaukee Bucks,MIL
robindu01,Duncan Robinson,Miami Heat,MIA
robinje02,Jeremiah Robinson-Earl,New Orleans Pelicans,NOP
robinor01,Orlando Robinson,Sacramento Kings,SAC
roddyda01,David Roddy,Atlanta Hawks,ATL
rolliry01,Ryan Rollins,Milwaukee Bucks,MIL
roziete01,Terry Rozier,Miami Heat,MIA
ruperra01,Rayan Rupert,Portland Trail Blazers,POR
russeda01,D'Angelo Russell,Los Angeles Lakers,LAL
ryanma01,Matt Ryan,New York Knicks,NYK
sabondo01,Domantas Sabonis,Sacramento Kings,SAC
salauti01,Tidjane Salaun,Charlotte Hornets,CHO
sanogad01,Adama Sanogo,Chicago Bulls,CHI
santogu01,Gui Santos,Golden State Warriors,GSW
saricda01,Dario Saric,Denver Nuggets,DEN
sarral01,Alex Sarr,Washington Wizards,WAS
sassema01,Marcus Sasser,Detroit Pistons,DET
scheiba01,Baylor Scheierman,Boston Celtics,BOS
schrode01,Dennis Schroder,Brooklyn Nets,BRK
sengual01,Alperen Sengun,Houston Rockets,HOU
sensabr01,Brice Sensabaugh,Utah Jazz,UTA
sextoco01,Collin Sexton,Utah Jazz,UTA
shannte01,Terrence Shannon Jr.,Minnesota Timberwolves,MIN
sharpsh01,Shaedon Sharpe,Portland Trail Blazers,POR
sheadja01,Jamal Shead,Toronto Raptors,TOR
sheppbe01,Ben Sheppard,Indiana Pacers,IND
sheppre01,Reed Sheppard,Houston Rockets,HOU
siakapa01,Pascal Siakam,Indiana Pacers,IND
simmobe01,Ben Simmons,Brooklyn Nets,BRK
simonan01,Anfernee Simons,Portland Trail Blazers,POR
simpskj01,KJ Simpson,Charlotte Hornets,CHO
simsje01,Jericho Sims,New York Knicks,NYK
smartma01,Marcus Smart,Memphis Grizzlies,MEM
smithdr01,Dru Smith,Miami Heat,MIA
smithja04,Jalen Smith,Chicago Bulls,CHI
smithja05,Jabari Smith Jr.,Houston Rockets,HOU
smithni01,Nick Smith Jr.,Charlotte Hornets,CHO
smithty02,Tyler Smith,Milwaukee Bucks,MIL
sochaje01,Jeremy Sochan,San Antonio Spurs,SAS
spencca01,Cam Spencer,Memphis Grizzlies,MEM
spencpa01,Pat Spencer,Golden State Warriors,GSW
sprinja01,Jaden Springer,Boston Celtics,BOS
stewais01,Isaiah Stewart,Detroit Pistons,DET
strawju01,Julian Strawther,Denver Nuggets,DEN
suggsja01,Jalen Suggs,Orlando Magic,ORL
swideco01,Cole Swider,Detroit Pistons,DET
tateja01,Jae'Sean Tate,Houston Rockets,HOU
tatumja01,Jayson Tatum,Boston Celtics,BOS
templga01,Garrett Temple,Toronto Raptors,TOR
terryda01,Dalen Terry,Chicago Bulls,CHI
theisda01,Daniel Theis,New Orleans Pelicans,NOP
thomaca02,Cam Thomas,Brooklyn Nets,BRK
thompam01,Amen Thompson,Houston Rockets,HOU
thompau01,Ausar Thompson,Detroit Pistons,DET
