id,adjusted_odds,board_time,description,line_score,odds_type,projection_type,rank,start_time,stat_display_name,status,today,updated_at,duration_id,league_id,player_id,projection_type_id,stat_type_id
3443593,,2024-12-05T22:10:00-05:00,PHI,7.5,standard,Single Stat,66,2024-12-06T19:10:00-05:00,Rebounds,pre_game,True,2024-12-06T07:42:12-05:00,11,7,37711,2,22
3443548,,2024-12-05T22:10:00-05:00,PHI,8.0,standard,Single Stat,66,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-06T11:13:39-05:00,11,7,37711,2,19
3443731,,2024-12-05T22:10:00-05:00,PHI,10.5,standard,Single Stat,66,2024-12-06T19:10:00-05:00,Pts+Asts,pre_game,True,2024-12-06T08:22:27-05:00,11,7,37711,2,244
3443663,,2024-12-05T22:10:00-05:00,PHI,17.5,standard,Single Stat,66,2024-12-06T19:10:00-05:00,Pts+Rebs+Asts,pre_game,True,2024-12-06T08:08:06-05:00,11,7,37711,2,106
3443715,,2024-12-05T22:10:00-05:00,PHI,15.5,standard,Single Stat,66,2024-12-06T19:10:00-05:00,Pts+Rebs,pre_game,True,2024-12-06T08:19:39-05:00,11,7,37711,2,243
3445232,True,2024-12-06T10:10:00-05:00,ORL,21.5,demon,Single Stat,75,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-06T10:14:32-05:00,11,7,217536,2,19
3443972,True,2024-12-05T22:50:00-05:00,PHI,12.5,demon,Single Stat,75,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-05T23:56:55-05:00,11,7,37711,2,19
3443974,True,2024-12-05T22:50:00-05:00,PHI,2.5,demon,Single Stat,75,2024-12-06T19:10:00-05:00,Assists,pre_game,True,2024-12-05T23:56:56-05:00,11,7,37711,2,20
3443971,True,2024-12-05T22:50:00-05:00,PHI,14.5,goblin,Single Stat,75,2024-12-06T19:10:00-05:00,Pts+Rebs+Asts,pre_game,True,2024-12-05T23:56:56-05:00,11,7,37711,2,106
3443967,True,2024-12-05T22:50:00-05:00,PHI,9.5,demon,Single Stat,75,2024-12-06T19:10:00-05:00,Rebounds,pre_game,True,2024-12-05T23:56:56-05:00,11,7,37711,2,22
3443973,True,2024-12-05T22:50:00-05:00,PHI,4.5,goblin,Single Stat,75,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-05T23:56:56-05:00,11,7,37711,2,19
3443975,True,2024-12-05T22:50:00-05:00,PHI,1.5,demon,Single Stat,75,2024-12-06T19:10:00-05:00,3-PT Made,pre_game,True,2024-12-05T23:56:56-05:00,11,7,37711,2,31
3443969,True,2024-12-05T22:50:00-05:00,PHI,24.5,demon,Single Stat,75,2024-12-06T19:10:00-05:00,Pts+Rebs+Asts,pre_game,True,2024-12-06T00:54:39-05:00,11,7,37711,2,106
3443976,True,2024-12-05T22:50:00-05:00,ORL,1.5,demon,Single Stat,75,2024-12-06T19:10:00-05:00,Steals,pre_game,True,2024-12-06T09:12:58-05:00,11,7,188005,2,23
3443999,True,2024-12-05T22:50:00-05:00,PHI,18.5,demon,Single Stat,75,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-05T23:55:18-05:00,11,7,37615,2,19
3444002,True,2024-12-05T22:50:00-05:00,PHI,1.5,demon,Single Stat,75,2024-12-06T19:10:00-05:00,Assists,pre_game,True,2024-12-05T23:55:18-05:00,11,7,37615,2,20
3443997,True,2024-12-05T22:50:00-05:00,PHI,4.5,goblin,Single Stat,75,2024-12-06T19:10:00-05:00,Rebounds,pre_game,True,2024-12-05T23:55:18-05:00,11,7,37615,2,22
3443986,True,2024-12-05T22:50:00-05:00,ORL,2.5,goblin,Single Stat,75,2024-12-06T19:10:00-05:00,3-PT Made,pre_game,True,2024-12-06T00:03:55-05:00,11,7,188005,2,31
3443984,True,2024-12-05T22:50:00-05:00,ORL,6.5,demon,Single Stat,75,2024-12-06T19:10:00-05:00,Assists,pre_game,True,2024-12-06T00:03:55-05:00,11,7,188005,2,20
3443981,True,2024-12-05T22:50:00-05:00,ORL,29.5,demon,Single Stat,75,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-06T00:03:55-05:00,11,7,188005,2,19
3443982,True,2024-12-05T22:50:00-05:00,ORL,17.5,goblin,Single Stat,75,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-06T00:03:55-05:00,11,7,188005,2,19
3443977,True,2024-12-05T22:50:00-05:00,ORL,5.5,demon,Single Stat,75,2024-12-06T19:10:00-05:00,Rebounds,pre_game,True,2024-12-06T00:03:55-05:00,11,7,188005,2,22
