Season,GameID,Date,Game,Player,PlayerID,Team,TeamID,Is_Home,Opp,PTS,REB,AST,STL,BLK,TOV,MP,OffREB,DefREB,FG,FGA,3P,3PA,FT,FTA,PF
2024-25,202411080DET,11/8/2024,DET vs ATL,Ron Holland,hollaro01,Detroit Pistons,DET,1,ATL,5,1,0,0,0,0,13.61666667,1,0,2,5,0,1,1,1,1
2024-25,202411080LAL,11/8/2024,LAL vs PHI,Anthony Davis,davisan02,Los Angeles Lakers,LAL,1,PHI,31,9,1,0,4,3,35.48333333,3,6,11,20,2,3,7,8,2
2024-25,202411080LAL,11/8/2024,LAL vs PHI,LeBron James,jamesle01,Los Angeles Lakers,LAL,1,PHI,21,12,13,0,3,2,33.8,0,12,9,14,2,4,1,1,0
2024-25,202411080LAL,11/8/2024,LAL vs PHI,Rui Hachimura,hachiru01,Los Angeles Lakers,LAL,1,PHI,9,4,1,0,0,1,32.83333333,1,3,3,8,3,6,0,0,5
2024-25,202411080LAL,11/8/2024,LAL vs PHI,Austin Reaves,reaveau01,Los Angeles Lakers,LAL,1,PHI,20,6,7,0,1,2,29.93333333,0,6,7,13,6,10,0,0,1
2024-25,202411080LAL,11/8/2024,LAL vs PHI,Cam Reddish,reddica01,Los Angeles Lakers,LAL,1,PHI,3,5,2,1,1,1,27.81666667,0,5,1,1,1,1,0,0,1
2024-25,202411080LAL,11/8/2024,LAL vs PHI,D'Angelo Russell,russeda01,Los Angeles Lakers,LAL,1,PHI,18,2,3,0,0,2,25.4,0,2,7,12,2,4,2,3,0
2024-25,202411080LAL,11/8/2024,LAL vs PHI,Dalton Knecht,knechda01,Los Angeles Lakers,LAL,1,PHI,2,4,0,0,0,0,16.16666667,0,4,1,8,0,5,0,0,0
2024-25,202411080LAL,11/8/2024,LAL vs PHI,Gabe Vincent,vincega01,Los Angeles Lakers,LAL,1,PHI,2,0,0,0,0,0,15.66666667,0,0,1,2,0,1,0,0,3
2024-25,202411080LAL,11/8/2024,LAL vs PHI,Jaxson Hayes,hayesja02,Los Angeles Lakers,LAL,1,PHI,8,2,0,0,4,0,15.56666667,1,1,3,4,0,0,2,2,3
2024-25,202411080LAL,11/8/2024,LAL vs PHI,Max Christie,chrisma02,Los Angeles Lakers,LAL,1,PHI,2,0,0,0,0,0,1.466666667,0,0,1,3,0,1,0,0,0
2024-25,202411080LAL,11/8/2024,LAL vs PHI,Jalen Hood-Schifino,hoodsja01,Los Angeles Lakers,LAL,1,PHI,0,0,0,0,0,0,1.466666667,0,0,0,0,0,0,0,0,0
2024-25,202411080LAL,11/8/2024,LAL vs PHI,Bronny James,jamesbr02,Los Angeles Lakers,LAL,1,PHI,0,0,0,0,0,0,1.466666667,0,0,0,0,0,0,0,0,0
